EntityID,EntityName,EntityType,ParentEntityID
E001,Financial Entity,ROOT_CATEGORY,
E002,Financial Product,ROOT_CATEGORY,
E003,Financial Activity,ROOT_CATEGORY,
E004,Depositary,ENTITY_CATEGORY,E001
E005,trustees,ENTITY,E004
E006,Firm,ENTITY_CATEGORY,E001
E007,firm,ENTITY,E006
E008,Financial Institutions,ENTITY,E006
E009,Fund,ENTITY_CATEGORY,E001
E010,fund,ENTITY,E009
E011,investment funds,ENTITY,E009
E012,Investment Adviser,ENTITY_CATEGORY,E001
E013,ADVISER,ENTITY,E012
E014,RIA,ENTITY,E012
E015,Investment Adviser,ENTITY,E012
E016,Management Company,ENTITY_CATEGORY,E001
E017,Fund Managers,ENTITY,E016
E018,Management Companies,ENTITY,E016
E019,Ucits,ENTITY_CATEGORY,E001
E020,UCITS,ENTITY,E019
E021,Undertakings for Collective Investment,ENTITY,E019
E022,Asset Management,ACTIVITY_CATEGORY,E003
E023,Asset Management,ACTIVITY,E022
E024,Custody,ACTIVITY_CATEGORY,E003
E025,Custodial Services,ACTIVITY,E024
E026,Reporting,ACTIVITY_CATEGORY,E003
E027,Regulatory Reporting,ACTIVITY,E026
E028,Disclosure Requirements,ACTIVITY,E026
E029,Risk Management,ACTIVITY_CATEGORY,E003
E030,Risk Management,ACTIVITY,E029
E031,Risk Assessment,ACTIVITY,E029
E032,Collective Investment Scheme,PRODUCT_CATEGORY,E002
E033,Collective Investment Scheme,PRODUCT,E032
E034,Etf,PRODUCT_CATEGORY,E002
E035,Exchange-Traded Fund,PRODUCT,E034
E036,Hedge Fund,PRODUCT_CATEGORY,E002
E037,Private Fund,PRODUCT,E036
E038,Alternative Investment Fund,PRODUCT,E036
E039,Money Market Fund,PRODUCT_CATEGORY,E002
E040,Money Market Funds,PRODUCT,E039
E041,Ucits Fund,PRODUCT_CATEGORY,E002
E042,UCITS Fund,PRODUCT,E041
